img_path,x0,y0,x1,y1,grad_Bx,grad_Gx,grad_Rx,grad_By,grad_Gy,grad_Ry,segment_length,is_field_boundary,is_field_marking,is_not_a_field_feature
data/humanoid-nao/images/131-16_02_2018__11_18_08_0026_upper.png,0,42,255,5,-15.19029,-17.122473,-23.488869,115.87856,125.43625,162.51315,232.0,False,False,True
data/humanoid-nao/images/131-16_02_2018__11_18_08_0026_upper.png,255,6,371,10,1.469326,1.6816139,3.3372612,49.238197,62.620285,90.3467,98.0,False,False,True
data/humanoid-nao/images/131-16_02_2018__11_18_08_0026_upper.png,0,99,301,15,-42.11072,-34.025093,-50.559692,170.41522,129.53894,199.81575,277.0,False,True,False
data/humanoid-nao/images/131-16_02_2018__11_18_08_0026_upper.png,301,16,367,19,0.4649105,1.2280617,2.662281,40.710526,31.105255,53.144733,43.0,False,True,False
data/humanoid-nao/images/131-16_02_2018__11_18_08_0026_upper.png,162,55,345,66,8.811426,6.2800064,10.80714,169.2543,108.8943,199.74428,175.0,False,True,False
data/humanoid-nao/images/131-16_02_2018__11_18_08_0026_upper.png,0,95,300,12,36.718315,33.388706,40.04709,-155.21149,-128.28938,-163.01285,292.0,False,True,False
data/humanoid-nao/images/131-16_02_2018__11_18_08_0026_upper.png,301,13,364,16,0.42726898,-0.9909096,-0.21818161,-16.036356,-42.85454,-54.509087,31.0,True,False,False
data/humanoid-nao/images/131-16_02_2018__11_18_08_0026_upper.png,144,28,239,12,-4.4244213,-5.101742,-5.499999,24.482565,45.328484,46.901165,60.0,True,False,False
data/humanoid-nao/images/131-16_02_2018__11_18_08_0026_upper.png,171,52,349,62,-6.8136024,-5.498516,-8.91272,-143.09764,-107.86539,-175.51036,169.0,False,True,False
data/humanoid-nao/images/131-16_02_2018__11_18_08_0026_upper.png,380,64,491,71,-7.8811874,-6.457924,-10.43565,-136.88614,-91.903465,-179.31187,97.0,False,True,False
data/humanoid-nao/images/131-16_02_2018__11_18_08_0026_upper.png,486,75,375,68,9.171562,4.9803925,10.904413,168.63727,89.63725,203.02698,98.0,False,True,False
data/humanoid-nao/images/131-16_02_2018__11_18_08_0026_upper.png,541,79,638,85,8.6875,4.784088,9.519885,141.56818,87.221596,171.21309,88.0,False,True,False
data/humanoid-nao/images/131-16_02_2018__11_18_08_0026_upper.png,541,81,638,103,-24.436047,-17.872097,-32.273254,-112.459305,-87.09302,-155.0872,82.0,False,True,False
data/humanoid-nao/images/131-16_02_2018__11_18_08_0026_upper.png,638,81,532,74,-8.311848,-6.170105,-11.211342,-138.94072,-92.84535,-168.43814,97.0,False,True,False
data/humanoid-nao/images/131-16_02_2018__11_18_08_0026_upper.png,536,67,639,67,-4.3682804,-2.5080605,-3.3333359,131.30914,81.08333,145.457,76.0,False,True,False
data/humanoid-nao/images/138-16_02_2018__12_01_43_0324_upper.png,0,110,173,125,17.416664,11.366669,18.756062,199.34697,123.02121,213.27423,165.0,False,True,False
data/humanoid-nao/images/138-16_02_2018__12_01_43_0324_upper.png,175,122,275,111,16.213886,10.613884,17.497223,-183.95833,-101.725,-191.83057,89.0,False,True,False
data/humanoid-nao/images/138-16_02_2018__12_01_43_0324_upper.png,282,115,192,122,-15.433329,-8.273338,-16.729998,189.67334,95.83333,200.81,71.0,False,True,False
data/humanoid-nao/images/138-16_02_2018__12_01_43_0324_upper.png,202,124,472,148,-12.697266,-8.885742,-13.169922,-162.07422,-119.961914,-167.79688,220.0,False,True,False
data/humanoid-nao/images/138-16_02_2018__12_01_43_0324_upper.png,467,139,426,126,49.15441,25.183823,57.816177,174.94853,89.52205,201.90442,32.0,False,True,False
data/humanoid-nao/images/138-16_02_2018__12_01_43_0324_upper.png,385,120,321,116,11.322723,5.018177,14.245459,184.20454,83.9909,197.57271,54.0,False,True,False
data/humanoid-nao/images/138-16_02_2018__12_01_43_0324_upper.png,33,60,20,0,63.201927,78.82692,69.5625,14.682686,19.00961,15.639423,45.0,False,False,True
data/humanoid-nao/images/138-16_02_2018__12_01_43_0324_upper.png,44,53,29,0,-60.569763,-74.04651,-62.813965,-19.54651,-24.918598,-20.674417,35.0,False,False,True
data/humanoid-nao/images/138-16_02_2018__12_01_43_0324_upper.png,132,59,93,63,9.6484375,11.765625,16.375,-70.02344,-94.65625,-124.71875,32.0,False,False,True
data/humanoid-nao/images/138-16_02_2018__12_01_43_0324_upper.png,72,71,177,65,-1.9323483,-1.8941193,-1.6235304,24.479416,50.88823,40.91765,70.0,True,False,False
data/humanoid-nao/images/138-16_02_2018__12_01_43_0324_upper.png,207,68,75,80,10.436993,7.7012177,15.587399,-105.94919,-113.54269,-198.92479,121.0,False,True,False
data/humanoid-nao/images/138-16_02_2018__12_01_43_0324_upper.png,75,83,207,70,-13.171373,-7.7963676,-10.070564,179.15523,111.31653,172.85281,123.0,False,True,False
data/humanoid-nao/images/138-16_02_2018__12_01_43_0324_upper.png,0,107,186,122,-14.5317955,-10.552021,-17.052025,-199.19363,-132.65607,-213.41907,173.0,False,True,False
data/humanoid-nao/images/138-16_02_2018__12_01_43_0324_upper.png,170,60,75,67,-5.128216,-5.9102592,-8.012821,117.45514,108.66024,147.75002,70.0,False,False,True
data/humanoid-nao/images/138-16_02_2018__12_01_43_0324_upper.png,225,20,220,59,42.82576,53.946968,63.446968,-6.6742496,-8.659088,-11.85606,22.0,False,False,True
data/humanoid-nao/images/138-16_02_2018__12_01_43_0324_upper.png,186,126,474,153,17.142467,10.172943,20.029572,193.19444,113.344986,208.87366,272.0,False,True,False
data/humanoid-nao/images/138-16_02_2018__12_01_43_0324_upper.png,203,160,301,172,-21.806183,-15.3342705,-24.637642,-194.78934,-127.137634,-201.25563,89.0,False,True,False
data/humanoid-nao/images/138-16_02_2018__12_01_43_0324_upper.png,291,171,398,171,0.9758072,0.7016182,0.6263428,-190.63171,-122.3898,-192.81989,93.0,False,True,False
data/humanoid-nao/images/138-16_02_2018__12_01_43_0324_upper.png,399,171,462,161,28.231483,18.106483,29.013885,-194.53703,-119.09723,-195.11574,53.0,False,True,False
data/humanoid-nao/images/138-16_02_2018__12_01_43_0324_upper.png,230,172,345,180,13.108171,8.38221,13.740379,201.48799,123.569725,207.50482,104.0,False,True,False
data/humanoid-nao/images/138-16_02_2018__12_01_43_0324_upper.png,346,179,436,174,-12.124998,-7.171875,-13.215623,203.63124,118.22188,203.89064,76.0,False,True,False
data/humanoid-nao/images/138-16_02_2018__12_01_43_0324_upper.png,525,81,529,13,-31.809319,-31.898312,-45.677975,1.2499847,1.601696,3.2542381,48.0,False,False,True
data/humanoid-nao/images/138-16_02_2018__12_01_43_0324_upper.png,528,11,395,8,-1.9756088,-2.75,-3.2601662,-104.6626,-144.54674,-155.56097,92.0,False,False,True
data/humanoid-nao/images/138-16_02_2018__12_01_43_0324_upper.png,337,10,279,10,0.5874996,-0.03125,-4.924999,-42.4125,-65.481255,-39.075,33.0,False,False,True
