img_path,x0,y0,x1,y1,grad_Bx,grad_Gx,grad_Rx,grad_By,grad_Gy,grad_Ry,segment_length,is_field_boundary,is_field_marking,is_not_a_field_feature
data/lines_15pm_lights_off_window_open/images/frame_0000.png,13,293,0,331,80.09677,73.16936,89.70967,-31.01612,-27.911293,-35.19355,28.0,False,True,False
data/lines_15pm_lights_off_window_open/images/frame_0000.png,40,231,10,301,77.48685,70.333336,86.802635,-30.679829,-27.543869,-34.653507,57.0,False,True,False
data/lines_15pm_lights_off_window_open/images/frame_0000.png,56,230,-1,429,-90.98279,-85.01323,-97.334656,24.813496,23.063484,26.543652,174.0,False,True,False
data/lines_15pm_lights_off_window_open/images/frame_0000.png,56,229,639,195,-5.894415,-4.966839,-7.206375,108.7033,92.86039,131.14093,573.0,False,True,False
data/lines_15pm_lights_off_window_open/images/frame_0000.png,70,0,75,68,46.038136,46.038128,46.038136,3.394062,3.3940582,3.3940544,49.0,False,False,True
data/lines_15pm_lights_off_window_open/images/frame_0000.png,0,79,242,83,-0.26096344,-0.32455826,-0.29823685,-23.958336,-25.620617,-23.989052,217.0,False,False,True
data/lines_15pm_lights_off_window_open/images/frame_0000.png,244,82,246,140,-19.107143,-19.107143,-19.10714,-0.29081345,-0.33161545,-0.20918274,47.0,False,False,True
data/lines_15pm_lights_off_window_open/images/frame_0000.png,245,143,0,148,-1.6578407,-1.4851685,-1.9904633,85.47351,74.93855,101.53919,236.0,False,True,False
data/lines_15pm_lights_off_window_open/images/frame_0000.png,0,154,252,147,0.67622757,0.39754486,1.0481606,-46.45697,-35.79098,-62.86372,241.0,False,True,False
data/lines_15pm_lights_off_window_open/images/frame_0000.png,0,229,631,192,6.2267265,5.2744713,7.4398155,-114.26846,-96.45184,-137.10995,623.0,False,True,False
data/lines_15pm_lights_off_window_open/images/frame_0000.png,0,156,265,149,-0.6174698,-0.39759827,-1.0240974,42.075287,31.775105,59.799194,237.0,False,True,False
data/lines_15pm_lights_off_window_open/images/frame_0000.png,264,149,262,94,-144.63586,-143.94563,-145.90761,-4.0380497,-4.336953,-3.6793537,43.0,False,False,True
data/lines_15pm_lights_off_window_open/images/frame_0000.png,264,92,639,94,0.6848955,0.6945963,0.73337555,139.12395,139.24861,139.2486,361.0,False,False,True
data/lines_15pm_lights_off_window_open/images/frame_0000.png,336,14,216,10,-0.8574791,-0.8621521,-0.85279846,-2.8341217,-2.5724258,-3.0023384,89.0,False,False,True
data/lines_15pm_lights_off_window_open/images/frame_0000.png,440,81,361,78,-0.1535759,-0.16070938,-0.082141876,-19.653568,-19.110718,-19.482155,55.0,False,False,True
data/lines_15pm_lights_off_window_open/images/frame_0000.png,439,76,517,77,-0.007358551,0.022064209,0.13970947,-41.764706,-41.764698,-41.7647,60.0,False,False,True
data/lines_15pm_lights_off_window_open/images/frame_0000.png,440,60,443,0,-21.44022,-20.614124,-19.375,1.60326,1.5380363,1.4402084,38.0,False,False,True
data/lines_15pm_lights_off_window_open/images/frame_0000.png,403,143,639,189,-14.988979,-12.286343,-18.644276,-87.953735,-72.35242,-109.68831,214.0,False,True,False
data/lines_15pm_lights_off_window_open/images/frame_0000.png,412,144,265,147,0.67910385,0.3955307,1.1958961,-47.76492,-32.149254,-73.2556,128.0,False,True,False
data/lines_15pm_lights_off_window_open/images/frame_0000.png,408,144,638,138,1.0546494,0.80814743,1.4546471,-47.65698,-34.049995,-62.194187,215.0,False,True,False
data/lines_15pm_lights_off_window_open/images/frame_0000.png,399,145,630,191,16.29485,13.192825,20.829592,88.98094,72.33183,113.2332,212.0,False,True,False
data/lines_15pm_lights_off_window_open/images/frame_0000.png,398,146,267,150,-0.93699074,-0.49186325,-1.5406456,44.376015,27.910568,73.58537,121.0,False,True,False
data/lines_15pm_lights_off_window_open/images/frame_0000.png,606,80,508,77,-0.41771698,-0.41771698,-0.41771698,-31.981007,-31.981007,-31.981007,63.0,False,False,True
data/lines_15pm_lights_off_window_open/images/frame_0000.png,444,45,638,53,-0.7142868,-0.72571564,-0.70285416,-35.94858,-35.94857,-35.94858,139.0,False,False,True
data/lines_15pm_lights_off_window_open/images/frame_0000.png,628,22,574,19,0.586956,0.5978279,0.57609177,13.652172,13.782604,13.52174,35.0,False,False,True
data/lines_15pm_lights_off_window_open/images/frame_0000.png,639,141,426,146,-0.99142265,-0.5845642,-1.5098095,47.81251,34.197304,67.69362,203.0,False,True,False
data/lines_15pm_lights_off_window_open/images/frame_0001.png,13,478,83,216,43.005928,40.108696,46.42787,-10.646244,-9.92095,-11.548418,234.0,False,True,False
data/lines_15pm_lights_off_window_open/images/frame_0001.png,82,215,0,219,-1.5270262,-1.4054084,-1.7668922,43.5,39.810814,50.611485,74.0,False,True,False
data/lines_15pm_lights_off_window_open/images/frame_0001.png,58,478,97,212,-47.173534,-45.373528,-49.729416,6.3833365,6.1539245,6.782353,231.0,False,True,False
data/lines_15pm_lights_off_window_open/images/frame_0001.png,624,185,0,216,2.6468887,2.4210281,3.0581017,-55.242638,-49.88011,-64.85679,611.0,False,True,False
data/lines_15pm_lights_off_window_open/images/frame_0001.png,179,82,0,79,0.028662682,0.004776001,0.012740135,-15.901275,-16.743631,-15.99363,150.0,False,False,True
data/lines_15pm_lights_off_window_open/images/frame_0001.png,99,75,93,0,-9.64394,-11.231062,-11.511364,-0.71212053,-0.685606,-0.73863506,57.0,False,False,True
data/lines_15pm_lights_off_window_open/images/frame_0001.png,101,59,97,0,40.95,40.95,40.95,2.7277803,2.7277803,2.7277803,45.0,False,False,True
data/lines_15pm_lights_off_window_open/images/frame_0001.png,100,214,639,187,-2.3709521,-2.0647602,-2.8561897,55.752853,49.82762,66.17333,520.0,False,True,False
data/lines_15pm_lights_off_window_open/images/frame_0001.png,280,91,638,94,0.32521558,0.31948376,0.33094382,58.197704,58.197716,58.197712,336.0,False,False,True
data/lines_15pm_lights_off_window_open/images/frame_0001.png,275,146,273,82,26.39352,26.393517,26.393518,0.6435194,0.6805544,0.60648537,52.0,False,False,True
data/lines_15pm_lights_off_window_open/images/frame_0001.png,290,0,291,91,36.256092,36.381096,34.76829,0.61585236,0.67988205,0.71951294,55.0,False,False,True
data/lines_15pm_lights_off_window_open/images/frame_0001.png,449,81,374,80,0.66796875,0.5625,0.59765625,-21.175781,-20.789062,-20.917969,42.0,False,False,True
data/lines_15pm_lights_off_window_open/images/frame_0001.png,450,87,454,0,-25.181509,-25.143837,-24.72945,0.92123604,0.89725494,0.8458948,60.0,False,False,True
data/lines_15pm_lights_off_window_open/images/frame_0001.png,303,144,639,137,0.60397434,0.61926746,0.6337919,-26.149849,-24.533642,-31.002295,316.0,False,True,False
data/lines_15pm_lights_off_window_open/images/frame_0001.png,505,0,501,92,-19.032467,-19.561684,-19.142859,1.3116837,1.3279228,1.3376598,48.0,False,False,True
data/lines_15pm_lights_off_window_open/images/frame_0001.png,414,144,622,184,8.985002,7.6425,10.94875,50.377502,42.8575,61.42874,197.0,False,True,False
data/lines_15pm_lights_off_window_open/images/frame_0001.png,571,53,507,50,0.47340393,0.37765884,0.654253,18.122341,17.909573,18.462765,38.0,False,False,True
data/lines_15pm_lights_off_window_open/images/frame_0001.png,507,18,576,21,-1.5318146,-1.4636364,-1.6318169,-44.55909,-44.554543,-44.440907,46.0,False,False,True
data/lines_15pm_lights_off_window_open/images/frame_0001.png,571,141,426,144,-0.22420692,-0.08531761,-0.35515928,28.05754,23.26786,35.121033,126.0,False,True,False
data/lines_15pm_lights_off_window_open/images/frame_0001.png,426,143,639,184,-8.265543,-6.9585514,-10.049225,-49.988342,-42.810875,-60.34197,192.0,False,True,False
data/lines_15pm_lights_off_window_open/images/frame_0001.png,639,140,575,141,0.15957546,0.21276474,4.7683716e-07,16.627659,10.8404255,27.414894,45.0,False,True,False
data/lines_15pm_lights_off_window_open/images/frame_0001.png,633,53,561,50,-0.5392151,-0.51470757,-0.59314156,-31.303919,-31.406862,-31.142159,29.0,False,False,True
data/lines_15pm_lights_off_window_open/images/frame_0008.png,13,478,83,213,55.773533,52.29118,60.100002,-14.004902,-13.065689,-15.158829,237.0,False,True,False
data/lines_15pm_lights_off_window_open/images/frame_0008.png,0,216,625,185,3.4105396,3.1568642,3.8660126,-71.51675,-65.651146,-81.975494,610.0,False,True,False
data/lines_15pm_lights_off_window_open/images/frame_0008.png,0,80,86,80,0.24038506,0.20833397,0.2435894,-18.233974,-19.46474,-17.051283,75.0,False,False,True
data/lines_15pm_lights_off_window_open/images/frame_0008.png,68,0,74,80,-19.267605,-19.267603,-19.323942,-1.422535,-1.4788685,-1.6056347,56.0,False,False,True
data/lines_15pm_lights_off_window_open/images/frame_0008.png,97,215,59,478,-62.046627,-59.85318,-65.17759,8.749003,8.480166,9.205354,234.0,False,True,False
data/lines_15pm_lights_off_window_open/images/frame_0008.png,97,214,631,188,-2.989503,-2.6698503,-3.515747,70.710884,64.34351,81.83159,520.0,False,True,False
data/lines_15pm_lights_off_window_open/images/frame_0008.png,98,69,94,0,-18.220833,-18.370834,-19.470833,-0.7708311,-0.81250095,-0.8291683,55.0,False,False,True
data/lines_15pm_lights_off_window_open/images/frame_0008.png,102,59,97,0,56.559776,56.559776,56.559776,3.8206463,3.8206463,3.8206463,46.0,False,False,True
data/lines_15pm_lights_off_window_open/images/frame_0008.png,80,80,178,82,-0.14457893,-0.14457893,-0.17168999,-22.216862,-22.566263,-22.412653,74.0,False,False,True
data/lines_15pm_lights_off_window_open/images/frame_0008.png,167,149,45,152,-0.32175922,-0.30324173,-0.3796296,23.57639,22.40046,26.69907,106.0,False,True,False
data/lines_15pm_lights_off_window_open/images/frame_0008.png,275,146,340,146,-0.8616047,-0.73214245,-1.1116061,22.986607,21.08929,27.90625,53.0,False,True,False
data/lines_15pm_lights_off_window_open/images/frame_0008.png,249,140,0,145,-1.2298746,-1.1959763,-1.2722464,49.70445,47.75529,52.992584,234.0,False,True,False
data/lines_15pm_lights_off_window_open/images/frame_0008.png,279,91,639,94,0.40571165,0.40571117,0.40571117,80.95857,80.89,81.09571,342.0,False,False,True
data/lines_15pm_lights_off_window_open/images/frame_0008.png,281,144,279,83,-75.526596,-76.20744,-76.606384,-1.6648941,-1.930851,-1.595746,44.0,False,False,True
data/lines_15pm_lights_off_window_open/images/frame_0008.png,290,0,291,91,47.939186,47.550674,47.287163,0.5270233,0.46283722,0.6520233,53.0,False,False,True
data/lines_15pm_lights_off_window_open/images/frame_0008.png,449,81,379,80,0.466671,0.38750076,0.40000153,-26.249992,-26.587505,-26.675003,42.0,False,False,True
data/lines_15pm_lights_off_window_open/images/frame_0008.png,451,82,454,0,-31.66096,-31.660955,-31.14041,1.0034313,0.97603035,0.9280758,58.0,False,False,True
data/lines_15pm_lights_off_window_open/images/frame_0008.png,284,144,639,137,0.75216675,0.7456627,0.81430626,-34.0513,-32.390167,-38.954475,343.0,False,True,False
data/lines_15pm_lights_off_window_open/images/frame_0008.png,453,76,589,79,0.10619354,0.19026947,0.110622406,-38.52212,-38.27877,-38.849552,81.0,False,False,True
data/lines_15pm_lights_off_window_open/images/frame_0008.png,480,0,476,90,-30.54929,-30.17253,-31.28873,1.2746468,1.278162,1.3802872,56.0,False,False,True
data/lines_15pm_lights_off_window_open/images/frame_0008.png,412,143,622,184,10.769802,9.39109,12.862621,61.289608,53.628723,72.72895,195.0,False,True,False
