img_path,x0,y0,x1,y1,grad_Bx,grad_Gx,grad_Rx,grad_By,grad_Gy,grad_Ry,segment_length,is_field_boundary,is_field_marking,is_not_a_field_feature
data/lines_15pm_lights_on_window_closed/images/frame_0000.png,53,72,48,8,-16.15625,-16.17411,-16.138401,-0.91516876,-0.97768784,-0.81695557,42.0,False,False,True
data/lines_15pm_lights_on_window_closed/images/frame_0000.png,0,194,638,169,2.3003922,1.8019867,3.130951,-63.505955,-49.235313,-87.48729,629.0,False,True,False
data/lines_15pm_lights_on_window_closed/images/frame_0000.png,120,73,116,0,-21.402344,-21.402344,-21.402344,-1.1054688,-1.0585938,-1.1835938,50.0,False,False,True
data/lines_15pm_lights_on_window_closed/images/frame_0000.png,144,139,436,135,-1.3239422,-1.25,-1.477993,67.20069,60.20599,81.728004,276.0,False,True,False
data/lines_15pm_lights_on_window_closed/images/frame_0000.png,438,138,283,141,0.18367767,0.062927246,0.41496658,-39.0136,-35.324825,-46.04422,138.0,False,True,False
data/lines_15pm_lights_on_window_closed/images/frame_0000.png,145,129,140,81,45.542683,47.201218,46.835365,4.5792503,4.6646347,4.7987747,36.0,False,False,True
data/lines_15pm_lights_on_window_closed/images/frame_0000.png,143,83,346,86,-0.33376694,-0.373703,-0.32603455,-26.980667,-27.507725,-26.854382,175.0,False,False,True
data/lines_15pm_lights_on_window_closed/images/frame_0000.png,148,0,153,82,-24.215763,-24.164383,-24.267124,-1.2363167,-1.1780624,-1.3219261,57.0,False,False,True
data/lines_15pm_lights_on_window_closed/images/frame_0000.png,0,196,449,180,-1.7726727,-1.3078232,-2.6218872,61.180836,46.869045,87.14229,441.0,False,True,False
data/lines_15pm_lights_on_window_closed/images/frame_0000.png,449,182,638,232,15.3611145,12.522217,19.25,59.90555,49.46113,74.33612,164.0,False,True,False
data/lines_15pm_lights_on_window_closed/images/frame_0000.png,290,0,293,79,84.63733,83.86268,83.806335,2.7007027,2.6443596,2.5316925,71.0,False,False,True
data/lines_15pm_lights_on_window_closed/images/frame_0000.png,289,82,287,0,-30.215752,-30.558216,-32.202057,-0.044517517,-0.058208466,-0.18149567,66.0,False,False,True
data/lines_15pm_lights_on_window_closed/images/frame_0000.png,339,61,295,60,0.5000038,0.4097252,0.19444656,15.097221,15.090275,15.9861145,34.0,False,False,True
data/lines_15pm_lights_on_window_closed/images/frame_0000.png,445,85,444,138,38.960228,37.642036,37.64204,-0.50569534,-0.58522415,-0.6761284,44.0,False,False,True
data/lines_15pm_lights_on_window_closed/images/frame_0000.png,431,139,504,139,-0.6383858,-0.495533,-1.2187481,28.808033,16.986614,36.433033,48.0,False,True,False
data/lines_15pm_lights_on_window_closed/images/frame_0000.png,457,181,638,228,-15.816864,-13.680229,-18.888084,-64.854645,-56.648254,-76.87065,162.0,False,True,False
data/lines_15pm_lights_on_window_closed/images/frame_0000.png,452,93,638,95,0.65029526,0.6647377,0.67918587,118.39019,119.82947,119.83525,173.0,False,False,True
data/lines_15pm_lights_on_window_closed/images/frame_0000.png,450,94,448,138,-117.81944,-118.29861,-119.013885,2.263895,1.8124924,2.8888855,32.0,False,False,True
data/lines_15pm_lights_on_window_closed/images/frame_0000.png,450,132,638,128,0.9750004,1.0611153,0.7611141,-47.92222,-56.916668,-32.655563,180.0,True,False,False
data/lines_15pm_lights_on_window_closed/images/frame_0000.png,572,18,566,92,-21.806454,-21.806454,-21.3871,1.5725822,1.475811,1.4758148,49.0,False,False,True
data/lines_15pm_lights_on_window_closed/images/frame_0000.png,587,94,592,31,-19.770405,-19.586731,-19.954079,1.0255089,1.0765228,1.0969315,40.0,False,False,True
data/lines_15pm_lights_on_window_closed/images/frame_0000.png,553,138,639,147,3.2077904,2.4935112,4.6785736,27.032475,19.409096,40.295475,65.0,False,True,False
data/lines_15pm_lights_on_window_closed/images/frame_0000.png,579,81,639,81,0.53261185,0.6847763,0.64130783,-27.108685,-27.1087,-27.1087,28.0,False,False,True
data/lines_15pm_lights_on_window_closed/images/frame_0000.png,639,144,586,139,-2.4883728,-1.7441788,-3.5058136,-33.604656,-28.151165,-44.12209,38.0,False,True,False
data/lines_15pm_lights_on_window_closed/images/frame_0000.png,638,133,450,137,0.6503067,0.4846611,0.9923363,-30.653366,-22.024536,-44.148777,159.0,False,True,False
data/lines_15pm_lights_on_window_closed/images/frame_0000.png,639,30,586,29,-0.6538429,-0.8012886,-0.7884674,-29.51281,-29.6731,-28.891037,30.0,False,False,True
data/lines_15pm_lights_on_window_closed/images/frame_0020.png,0,194,639,170,2.1396828,1.3424568,2.8849182,-64.15396,-40.31072,-86.6119,630.0,False,True,False
data/lines_15pm_lights_on_window_closed/images/frame_0020.png,0,197,451,180,-2.0869102,-1.2816048,-2.937931,64.007904,40.605515,88.95373,441.0,False,True,False
