img_path,x0,y0,x1,y1,grad_Bx,grad_Gx,grad_Rx,grad_By,grad_Gy,grad_Ry,segment_length,is_field_boundary,is_field_marking,is_not_a_field_feature
data/lines_15pm_lights_on_window_open/images/frame_0005.png,0,89,137,91,1.4550781,1.3730469,1.3886719,138.25195,138.10352,139.18164,128.0,False,False,True
data/lines_15pm_lights_on_window_open/images/frame_0005.png,290,93,639,96,1.3510323,1.3392344,1.417408,161.00441,161.93805,163.26547,339.0,False,False,True
data/lines_15pm_lights_on_window_open/images/frame_0005.png,16,118,257,127,-0.3991394,-0.318676,-0.5922737,-22.530048,-18.458164,-30.120167,224.0,False,True,False
data/lines_15pm_lights_on_window_open/images/frame_0005.png,16,14,209,4,1.09972,1.0463486,1.0154572,-22.526684,-22.4705,-22.431175,107.0,False,False,True
data/lines_15pm_lights_on_window_open/images/frame_0005.png,245,88,141,87,-0.030864716,-0.13579941,-0.17901993,-25.061737,-25.395046,-24.925934,74.0,False,False,True
data/lines_15pm_lights_on_window_open/images/frame_0005.png,407,11,519,7,0.6826973,0.62018967,0.6490402,-23.413471,-22.475952,-22.687485,59.0,False,False,True
data/lines_15pm_lights_on_window_open/images/frame_0005.png,638,3,521,8,1.4387817,1.3341827,1.2270355,-26.035725,-24.568886,-25.55357,65.0,False,False,True
data/lines_15pm_lights_on_window_open/images/frame_0006.png,0,89,137,91,1.1289062,1.0585938,1.0585938,113.55859,113.68359,114.98047,128.0,False,False,True
data/lines_15pm_lights_on_window_open/images/frame_0006.png,290,93,639,96,1.1747775,1.1880565,1.2367225,135.56563,136.11136,138.2264,339.0,False,False,True
data/lines_15pm_lights_on_window_open/images/frame_0006.png,25,119,154,123,-0.34033394,-0.25630188,-0.43066978,-20.936974,-16.26891,-28.960094,117.0,False,True,False
data/lines_15pm_lights_on_window_open/images/frame_0006.png,29,14,175,6,1.0436478,1.019844,1.0039711,-19.857147,-19.793655,-19.920647,90.0,False,False,True
data/lines_15pm_lights_on_window_open/images/frame_0006.png,247,88,142,87,0.050590515,-0.005947113,-0.0625,-20.895836,-22.119041,-21.806541,79.0,False,False,True
data/lines_15pm_lights_on_window_open/images/frame_0006.png,451,9,407,11,1.1013527,1.0337791,1.0337868,-23.763515,-22.682426,-22.682426,23.0,False,False,True
data/lines_15pm_lights_on_window_open/images/frame_0027.png,0,89,136,91,1.2145672,1.2224417,1.2224417,123.40748,123.281494,124.55708,127.0,False,False,True
data/lines_15pm_lights_on_window_open/images/frame_0027.png,289,93,639,96,1.2903233,1.2800608,1.3269768,149.67886,149.73166,151.34459,341.0,False,False,True
data/lines_15pm_lights_on_window_open/images/frame_0027.png,13,118,258,127,-0.35126877,-0.2753067,-0.56856537,-21.66983,-15.773205,-31.448307,227.0,False,True,False
data/lines_15pm_lights_on_window_open/images/frame_0027.png,29,14,209,4,1.1388855,1.0774841,1.0950317,-20.852345,-20.729519,-20.78801,101.0,False,False,True
data/lines_15pm_lights_on_window_open/images/frame_0027.png,404,11,639,4,0.7171402,0.6596298,0.7276993,-26.095062,-25.11502,-25.596252,133.0,False,False,True
data/lines_15pm_lights_on_window_open/images/frame_0027.png,405,0,402,91,-30.386368,-26.14611,-25.76949,0.9318085,1.0486984,0.8344307,75.0,False,False,True
data/lines_15pm_lights_on_window_open/images/frame_0058.png,591,125,638,148,-34.085365,-31.134144,-39.207317,-83.45122,-76.4756,-94.902435,41.0,False,True,False
data/lines_15pm_lights_on_window_open/images/frame_0058.png,201,93,639,97,1.0617809,1.075758,1.0990658,145.48483,146.14455,148.45454,429.0,False,False,True
data/lines_15pm_lights_on_window_open/images/frame_0058.png,40,92,0,91,0.46212482,0.34090996,0.34090996,121.23485,121.23484,121.23484,33.0,False,False,True
data/lines_15pm_lights_on_window_open/images/frame_0058.png,319,30,409,29,0.5092621,0.5092621,0.58333206,-23.632729,-22.793217,-22.793205,61.0,False,False,True
data/lines_15pm_lights_on_window_open/images/frame_0058.png,319,4,319,74,12.909092,14.2545395,15.672726,-0.19091034,-0.22727203,-0.24546432,36.0,False,False,True
data/lines_15pm_lights_on_window_open/images/frame_0058.png,321,12,461,7,-0.0135650635,-0.05426407,0.07752228,-11.281006,-10.8798485,-12.341095,83.0,False,False,True
data/lines_15pm_lights_on_window_open/images/frame_0058.png,412,11,638,4,0.6433487,0.6249962,0.61353683,-27.145622,-26.7603,-27.741966,155.0,False,False,True
data/lines_15pm_lights_on_window_open/images/frame_0058.png,639,46,500,47,-0.016124725,0.020168304,-0.076602936,-24.1492,-24.302433,-23.971752,94.0,False,False,True
data/lines_15pm_lights_on_window_open/images/frame_0077.png,39,89,85,90,0.60256433,0.5961504,0.61538124,138.96153,139.0577,139.17949,39.0,False,False,True
data/lines_15pm_lights_on_window_open/images/frame_0077.png,128,89,324,92,1.9448953,1.897852,1.9260759,126.56584,127.395164,128.15726,186.0,False,False,True
data/lines_15pm_lights_on_window_open/images/frame_0077.png,133,106,0,109,0.8907566,1.1596661,0.7563019,-43.504204,-56.000008,-35.747902,119.0,True,False,False
data/lines_15pm_lights_on_window_open/images/frame_0077.png,473,93,638,96,1.8471365,1.9044619,1.910821,155.80255,156.57324,155.50319,157.0,False,False,True
data/lines_15pm_lights_on_window_open/images/frame_0077.png,0,134,108,128,0.69249344,0.5724945,1.1474991,-17.227493,-13.552498,-25.047499,99.0,False,True,False
data/lines_15pm_lights_on_window_open/images/frame_0077.png,230,20,392,7,1.5263138,1.4753227,1.5690842,-19.99672,-19.968739,-20.690788,130.0,False,False,True
data/lines_15pm_lights_on_window_open/images/frame_0077.png,213,117,473,129,-0.5723419,-0.38511276,-0.80744743,-20.589363,-16.978725,-26.02447,221.0,False,True,False
data/lines_15pm_lights_on_window_open/images/frame_0077.png,463,128,520,123,-2.627905,-2.2906914,-3.4767437,30.255808,24.965107,40.651157,35.0,False,True,False
data/lines_15pm_lights_on_window_open/images/frame_0077.png,445,127,501,122,2.3597527,1.6890259,2.9512215,-35.859756,-31.12804,-43.634148,40.0,False,True,False
